Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
22.108.Race.Parkour.Troll,https://prod.cloud.rockstargames.com/ugc/gta5mission/8563/eDOCatQa4Ey0_arSCQH8PQ/2_2.jpg,https://socialclub.rockstargames.com/job/gtav/eDOCatQa4Ey0_arSCQH8PQ,https://socialclub.rockstargames.com/member/fleder.maus./jobs?title=gtav&platform=pc,Fleder.maus.,"Draugur, ... -  Race the troll # Second Parkour Race Draft # No Drugs needed # You will Enjoy and love a white Box at the end to relax your brain, an come DOWN. # Beware of the tre...",
Мальшие и Один Боленький 3 (pacTuwka),https://prod.cloud.rockstargames.com/ugc/gta5mission/5806/q8p0Yvb2bEqPqBQk0A3M4A/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/q8p0Yvb2bEqPqBQk0A3M4A,https://socialclub.rockstargames.com/member/krovat_ym1x-pol9/jobs?title=gtav&platform=pc,krovat_ym1x-pol9,"Неидельная карта, но remastered in HD","#mega
#skill
#
parkour
#rampa
#большие
#маленькие"
Osiris Parkour,https://prod.cloud.rockstargames.com/ugc/gta5mission/0006/gkOh00CuOkmdVh5AnaSF8A/2_1.jpg,https://socialclub.rockstargames.com/job/gtav/gkOh00CuOkmdVh5AnaSF8A,https://socialclub.rockstargames.com/member/bigdaddyita/jobs?title=gtav&platform=pc,BigDaddyITA,Un parkour nel quale chi perde è gaio,
{PS4} ParkourPro Sentinel (OriundoRC19),https://prod.cloud.rockstargames.com/ugc/gta5mission/5909/d5Pa9jfImkOZHZ9u10StJA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/d5Pa9jfImkOZHZ9u10StJA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Carrera Parkour con el Sentinel clásico, Espero que les guste #OriundoRC, copied from ps4!","#fun
#sentinel
#
parkour
#carkour
#danirep
#kosi023
#crisf27
#soydan
#chris92"
{PS4} ParkourPro  300R (OriundoRC19),https://prod.cloud.rockstargames.com/ugc/gta5mission/1411/51jqwrn2bEWZJYasroxZkw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/51jqwrn2bEWZJYasroxZkw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Carrera Parkour con el nuevo auto 300R, espero que les guste #OriundoRC, copied from ps4!",
{PS4} Kour 300 R (davideduster),https://prod.cloud.rockstargames.com/ugc/gta5mission/9498/T4_JVYneJkKQdKNW4Y3EQg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/T4_JVYneJkKQdKNW4Y3EQg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour veloce_____Gara veloce a giri_____30 Player_____Fast Parkour GP                #CITTONE #FioritoGamer #Chris92, copied from ps4!",
MEGA RAMP-11 THE ARVIND,https://prod.cloud.rockstargames.com/ugc/gta5mission/6953/CWuLI4HyKEKmeN5uFR7-cg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/CWuLI4HyKEKmeN5uFR7-cg,https://socialclub.rockstargames.com/member/ag_arvind08/jobs?title=gtav&platform=pc,AG_Arvind08,"BETA MEGA RAMP (YOUTUBE - THE ARVIND) JO JEETA VO MERA BETA HE ,  JEETJA MERE BETA","#race
#new
#skills
#
parkour
#facetoface
#rampa
#megaramp"
{PULS} Pulsimple,https://prod.cloud.rockstargames.com/ugc/gta5mission/7717/obp5KXJ5r0WWvS1zjPBoHQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/obp5KXJ5r0WWvS1zjPBoHQ,https://socialclub.rockstargames.com/member/---pulsar---/jobs?title=gtav&platform=pc,---pulsar---,"XA-21.  Skilltest for Kostos Play, Kashmindor, Bonifaciy","#
parkour
#easy
#xa-21
#xa21"
transform city line 3,https://prod.cloud.rockstargames.com/ugc/gta5mission/2158/0oBnUAncLUe9KyyJFavBGw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/0oBnUAncLUe9KyyJFavBGw,https://socialclub.rockstargames.com/member/mrs_amy_wong/jobs?title=gtav&platform=pc,Mrs_Amy_Wong,"medium transform parkour xa-21+pr4 enjoy, shoutout 2 chatkour","#asian
#skill
#
parkour
#formula
#wallride
#medium
#
#pr4
#xa21"
A.B.C.D.E.F@ck,https://prod.cloud.rockstargames.com/ugc/gta5mission/7076/832raj59TUqJ83LyaJtlaw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/832raj59TUqJ83LyaJtlaw,https://socialclub.rockstargames.com/member/uncle_eugene91/jobs?title=gtav&platform=pc,UNCLE_EUGENE91,XA-21. Skill test. Good luck.,"#
parkour
#skilltest
#xa21"
