Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{PS4} [PM] Parkour Ruiner 2000 (patoudemoorea),https://prod.cloud.rockstargames.com/ugc/gta5mission/1396/_otg8AOdsEmlVDtxFHWRew/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/_otg8AOdsEmlVDtxFHWRew,https://socialclub.rockstargames.com/member/gazastreifen/jobs?title=gtav&platform=pc,Gazastreifen,"#CREA #OXYS #CHRIS92 #TFAM #NSRC  #GPCR   made by patoudemoorea, copied from ps4!",
{PS5} [$P] Peachkour (Sara-Peachy),https://prod.cloud.rockstargames.com/ugc/gta5mission/3073/uU6cTNgwy0CKQG_KdKakdQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/uU6cTNgwy0CKQG_KdKakdQ,https://socialclub.rockstargames.com/member/gazastreifen/jobs?title=gtav&platform=pc,Gazastreifen,"Someone should remake this. Welcome to my first ever Parkour! Easy/Medium difficulty. Shout out to MixedUpMike. Have fun :) #HAZE #GCCC #CROW #HALC #XA21  made by Sara-Peachy, copi...","#haze
#skill
#
parkour
#crow
#
#gccc
#halc
#xa21"
【HD系列】53 [笑里藏刀之五] 炸 Distance,https://prod.cloud.rockstargames.com/ugc/gta5mission/7413/kH7_yb0OAkycsc05aW6pKQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/kH7_yb0OAkycsc05aW6pKQ,https://socialclub.rockstargames.com/member/hanxdota/jobs?title=gtav&platform=pc,Hanxdota,可是炸吧飘进双眼，看不见作者的谎言，心甘情愿折磨在深渊，复活了一遍又一遍。  罗兰特意为他的好友乐美订制的一张图，并提供了设计蓝图，这友情真是可歌可泣。,"#
parkour
#hanx"
Parkour,https://prod.cloud.rockstargames.com/ugc/gta5mission/0440/eGzBIWptAUKbkhDIEHBACA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/eGzBIWptAUKbkhDIEHBACA,https://socialclub.rockstargames.com/member/theodasinsade/jobs?title=gtav&platform=pc,Theodasinsade,"Cette course vous fera passer par des trolls et face to face,abonnez-vous et rejoignez ma chaîne YouTube,mon Twitch,l'équipe,mon crew,clubs,mon Snapchat,mon Instagram,mon TikTok,mo...","#
parkour"
parkour à pied (Find way),https://prod.cloud.rockstargames.com/ugc/gta5mission/1966/4yquUWxV_UKK7UzJFUZZlg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/4yquUWxV_UKK7UzJFUZZlg,https://socialclub.rockstargames.com/member/yannilindor/jobs?title=gtav&platform=pc,Yannilindor,Parkour à pied CHILL ( premier parkour soyez indulgent ;) ) Le but est de trouver son chemin sans aucune indication à travers la ville. Bonne chance. ( pas très dur).              ...,"#
parkour
apied"
{PS4} [mic] XA21 STUNT-KOUR #2 (MICRO_HACK_YT),https://prod.cloud.rockstargames.com/ugc/gta5mission/3397/3rkoqYMdzUqwqXQtvCW8Bg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/3rkoqYMdzUqwqXQtvCW8Bg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"#xMHx #CREA #TLS #BLONDBARBE #KM #BLOOD #IMRUN #MICKA54 #RIOBARBU #MRHOOK #JAMEL #USB #PAPYWICK #GANJA #SEASEASEA , copied from ps4!","#stunt
#
parkour
#tls
#
#crea
#kour
#xmhx"
{PS4} lM666l Skill for noobs 11 (Marshmello-l666l),https://prod.cloud.rockstargames.com/ugc/gta5mission/8702/G2Y9ky51ukqPWrMlQ9jF0w/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/G2Y9ky51ukqPWrMlQ9jF0w,https://socialclub.rockstargames.com/member/gazastreifen/jobs?title=gtav&platform=pc,Gazastreifen,"Привет нубяры, 11 часть вот она. На данном дер*ме я ещё не строил никогда. YT Dizlaйk Marshmello |||  ONLY CUSTOM RC BANDITO  made by Marshmello-l666l, copied from ps4!","#test
#hard
#asian
#skill
#impossible
#
parkour
#medium
#bandito
#carcour"
Escape Sheep 2.1 小绵羊大逃亡,https://prod.cloud.rockstargames.com/ugc/gta5mission/6171/sKBJgqYhGka25uE2nv37Xg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/sKBJgqYhGka25uE2nv37Xg,https://socialclub.rockstargames.com/member/wiz-topv/jobs?title=gtav&platform=pc,Wiz-TOPv,【更新】可怜的小绵羊们遭到驾驶着古邦800猎手的追杀，他们必须穿过危险的赛道，抵达终点，才有可能存活并逆袭！A team of escapees and a team of pursuers. ---------（欢迎加入GTA5毒图PVP游戏群：682995581）,"#fight
#wiz
#escape
#
parkour
#sheep
#pvp
#lts
#topv"
bmx skill test #2,https://prod.cloud.rockstargames.com/ugc/gta5mission/9381/PSFkXs6cPECrNlgPCLMGcg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/PSFkXs6cPECrNlgPCLMGcg,https://socialclub.rockstargames.com/member/nedsome/jobs?title=gtav&platform=pc,nedsome,bmx parkour [wallrides] [jumps] [grinds],
parkour facil que tu ex,https://prod.cloud.rockstargames.com/ugc/gta5mission/4882/TXX_StQgp0adlOnXG3I9bg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/TXX_StQgp0adlOnXG3I9bg,https://socialclub.rockstargames.com/member/kr4toss_/jobs?title=gtav&platform=pc,KR4TOSs_,vuela rapido o explotaras,
